2121585,377208,2154997,408521
2141560,385442,2150219,403958
4280,2981,3
4280,2983,91
4281,2981,28
4281,2982,95
4281,2983,7
4281,2985,8
4282,2981,9
4282,2982,120
4282,2983,23
4282,2984,32
4282,2985,48
4283,2980,51
4283,2981,247
4283,2982,249
4283,2983,336
4283,2984,436
4283,2985,89
4284,2979,36
4284,2980,446
4284,2981,3045
4284,2982,5597
4284,2983,10871
4284,2984,11370
4284,2985,86
4285,2979,220
4285,2980,508
4285,2981,3090
4285,2982,2788
4285,2983,1968
4285,2984,22447
4285,2985,378
4285,2986,11
4285,2987,5
4286,2979,21
4286,2980,1590
4286,2981,3572
4286,2982,2299
4286,2983,2147
4286,2984,8076
4286,2985,532
4287,2979,97
4287,2980,2854
4287,2981,8657
4287,2982,1299
4287,2983,3351
4287,2984,13571
4287,2985,870
4288,2979,13
4288,2980,4139
4288,2981,3929
4288,2982,1548
4288,2983,6234
4288,2984,15100
4288,2985,589
4288,2986,53
4289,2976,1
4289,2977,16
4289,2978,15
4289,2979,6
4289,2980,2869
4289,2981,3474
4289,2982,2007
4289,2983,3961
4289,2984,18243
4289,2985,435
4289,2986,275
4290,2974,3
4290,2975,16
4290,2976,15
4290,2980,4087
4290,2981,3601
4290,2982,2449
4290,2983,2088
4290,2984,19784
4290,2985,689
4291,2973,15
4291,2974,14
4291,2980,5676
4291,2981,5866
4291,2982,2228
4291,2983,5381
4291,2984,3061
4291,2985,279
4292,2972,19
4292,2973,2
4292,2980,3606
4292,2981,7940
4292,2982,3835
4292,2983,3817
4292,2984,1297
4292,2985,74
4293,2971,9
4293,2972,3
4293,2980,433
4293,2981,400
4293,2982,2961
4293,2983,1482
4293,2984,1860
4293,2985,90
4294,2971,11
4294,2980,16
4294,2981,6
4294,2982,225
4294,2983,26
4294,2984,303
4294,2985,31
4295,2970,2
4295,2971,7
